"state.abb","y","nm","party","col","state.x","state.y","ev.r","ev.d","ev","total","clinton.rank","trump.rank","johnson.rank","margin","margin.p","clinton.p","trump.p","johnson.p","other.p","clinton","trump","johnson","other","x","legisNames"
"WI",-1.08891131971595,"Baldwin (D-WI)","D","blue","Wisconsin","Wisconsin",10,0,0,2976150,2,1,3,22748,0.76,46.45,47.22,3.58,2.74,1382536,1405284,106674,81656,47.22,"Baldwin (D-WI)"
"CA",-1.08339677144698,"Harris (D-CA)","D","blue","California","California",0,55,0,14237884,1,2,3,4269978,29.99,61.48,31.49,3.36,3.66,8753788,4483810,478500,521786,31.49,"Harris (D-CA)"
"VT",-1.08214841956595,"Leahy (D-VT)","D","blue","Vermont","Vermont",0,3,0,315067,1,2,4,83204,26.41,56.68,30.27,3.2,9.85,178573,95369,10078,31047,30.27,"Leahy (D-VT)"
"NV",-1.07993352355277,"Cortez Masto (D-NV)","D","blue","Nevada","Nevada",0,6,0,1125385,1,2,3,27202,2.42,47.92,45.5,3.32,3.26,539260,512058,37384,36683,45.5,"Cortez Masto (D-NV)"
"CT",-1.0783994901262,"Murphy (D-CT)","D","blue","Connecticut","Connecticut",0,7,0,1644920,1,2,3,224357,13.64,54.57,40.93,2.96,1.55,897572,673215,48676,25457,40.93,"Murphy (D-CT)"
"IL",-1.06211851244793,"Duckworth (D-IL)","D","blue","Illinois","Illinois",0,20,0,5594426,1,2,3,944714,16.89,55.25,38.36,3.75,2.65,3090729,2146015,209596,148086,38.36,"Duckworth (D-IL)"
"MA",-1.06133495799196,"Markey (D-MA)","D","blue","Massachusetts","Massachusetts",0,11,0,3325046,1,2,3,904303,27.2,60.01,32.81,4.15,3.04,1995196,1090893,138018,100939,32.81,"Markey (D-MA)"
"WA",-1.02769431435976,"Murray (D-WA)","D","blue","Washington","Washington",0,8,4,3316996,1,2,3,520971,15.71,52.54,36.83,4.85,5.78,1742718,1221747,160879,191652,36.83,"Murray (D-WA)"
"MT",-1.02591674112871,"Tester (D-MT)","D","blue","Montana","Montana",3,0,0,501822,2,1,3,101531,20.23,35.41,55.65,5.59,3.35,177709,279240,28037,16836,55.65,"Tester (D-MT)"
"NY",-0.965315638962083,"Schumer (D-NY)","D","blue","New York","New York",0,29,0,7721453,1,2,3,1736590,22.49,59.01,36.52,2.29,2.19,4556124,2819534,176598,169197,36.52,"Schumer (D-NY)"
"DE",-0.879699290983075,"Coons (D-DE)","D","blue","Delaware","Delaware",0,3,0,443814,1,2,3,50476,11.37,53.09,41.71,3.33,1.88,235603,185127,14757,8327,41.71,"Coons (D-DE)"
"MD",-0.859329398161089,"Cardin (D-MD)","D","blue","Maryland","Maryland",0,10,0,2781446,1,2,3,734759,26.42,60.33,33.91,2.86,2.9,1677928,943169,79605,80744,33.91,"Cardin (D-MD)"
"MI",-0.844265575242354,"Peters (D-MI)","D","blue","Michigan","Michigan",16,0,0,4824542,2,1,3,10704,0.22,47.03,47.25,3.57,2.16,2268839,2279543,172136,104024,47.25,"Peters (D-MI)"
"HI",-0.843574000762779,"Hirono (D-HI)","D","blue","Hawaii","Hawaii",0,3,1,428937,1,2,3,138044,32.18,62.22,30.04,3.72,4.02,266891,128847,15954,17245,30.04,"Hirono (D-HI)"
"MN",-0.843020177034369,"Franken (D-MN)","D","blue","Minnesota","Minnesota",0,10,0,2945233,1,2,3,44593,1.51,46.44,44.93,3.84,4.79,1367825,1323232,112984,141192,44.93,"Franken (D-MN)"
"FL",-0.843013844057531,"Nelson (D-FL)","D","blue","Florida","Florida",29,0,0,9502955,2,1,3,112911,1.19,47.41,48.59,2.18,1.82,4504975,4617886,207043,173051,48.59,"Nelson (D-FL)"
"MI",-0.839043577373591,"Stabenow (D-MI)","D","blue","Michigan","Michigan",16,0,0,4824542,2,1,3,10704,0.22,47.03,47.25,3.57,2.16,2268839,2279543,172136,104024,47.25,"Stabenow (D-MI)"
"CO",-0.825528225287155,"Bennet (D-CO)","D","blue","Colorado","Colorado",0,9,0,2780247,1,2,3,136386,4.91,48.16,43.25,5.18,3.41,1338870,1202484,144121,94772,43.25,"Bennet (D-CO)"
"OH",-0.825004338731193,"Brown (D-OH)","D","blue","Ohio","Ohio",18,0,0,5536528,2,1,3,446841,8.07,43.24,51.31,3.15,2.29,2394164,2841005,174498,126861,51.31,"Brown (D-OH)"
